id,name,credits,college,prereqs,subject,department
ANTH 250EB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250EH,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250FB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250FD,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250FP,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250GA,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250GM,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250GW,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250JB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250JH,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250JP,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250JT,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250KJ,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MC,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250ME,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MG,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MH,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MJ,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MK,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250ML,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MM,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MS,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MV,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250MY,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250NC,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250NW,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250PS,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250PW,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
